Supplement	Supplement_Title	Source_Order	Role	Logical_Name	Canonical_Relative_Path	Filename	SHA256
S01	Dataset and isolate provenance	1	PRIMARY	Target/comparator manifest	Results/Pilot_6_CIP/Candidate_Residual_Triage/Regulator_Porin_Coding_Audit/Input_Comparator_Preflight/regulator_porin_target_comparator_manifest_v1.tsv	regulator_porin_target_comparator_manifest_v1.tsv	597841db96d9cd5a7e83b205d1ef2c6aed6973d52564910eb3eaf1fc15fffdd4
S01	Dataset and isolate provenance	2	PRIMARY	Genome input manifest	Results/Pilot_6_CIP/Candidate_Residual_Triage/Regulator_Porin_Coding_Audit/Frozen_Canonical_Inputs/regulator_porin_canonical_genome_inputs_v1.tsv	regulator_porin_canonical_genome_inputs_v1.tsv	82981759ab886813440954d872514e0a16b309ee739c49e721126ae0de47c44e
S01	Dataset and isolate provenance	3	PRIMARY	Pilot6 external CIP-R panel manifest	Results/Pilot_6_CIP/Candidate_Residual_Triage/Pilot6_Contextualization_Cohort_Architecture_Repair_Freeze_v1/Pilot6_external_CIPR_panel_manifest_v1.tsv	Pilot6_external_CIPR_panel_manifest_v1.tsv	480c81b983dcf940ee7195820bff2e8a09867f3be793505aef9f5e8d5ebb9e17
S01	Dataset and isolate provenance	4	PRIMARY	Pilot6 exact assembly input manifest	Results/Pilot_6_CIP/Candidate_Residual_Triage/Pilot6_Per_Isolate_Input_Provenance_and_qnrB_Evaluability_Freeze_v1/Pilot6_exact_assembly_input_manifest_v1.tsv	Pilot6_exact_assembly_input_manifest_v1.tsv	c8d31b82dfa21b8d03dd9d74916c305e53e9d9cdd5d3f50f7f6e08d90afe9b79
S01	Dataset and isolate provenance	5	SUPPORT	Public raw-read accession resolution summary	Results/Pilot_6_CIP/Candidate_Residual_Triage/Pilot6_CIP02_to_CIP06_Public_Raw_Read_Accession_Resolution_v1/Pilot6_CIP02_to_CIP06_raw_read_accession_resolution_summary_v1.tsv	Pilot6_CIP02_to_CIP06_raw_read_accession_resolution_summary_v1.tsv	93e5e54476ec21907c0adee27a6b338ca75e01a7e844f2063148e0aee9ccdf38
S02	Software, database and reference register	1	PRIMARY	MG1655 structural anchor manifest	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Insertion_Sequence_Structural_Context_Audit/Reference_and_Tool_Preflight_v1/MG1655_structural_anchor_manifest_v1.tsv	MG1655_structural_anchor_manifest_v1.tsv	11bee165cc5535cc9a565116e4bedca750f3c37c3eb87655c5ff0927083754de
S02	Software, database and reference register	2	SUPPORT	AMRFinderPlus acquired-quinolone reference-family/database freeze	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_ID003_RR02_acquired_quinolone_reference_family_and_sequence_freeze_terminal_v1.txt	ID005_ID003_RR02_acquired_quinolone_reference_family_and_sequence_freeze_terminal_v1.txt	4389a4da5d9d7eb365cf344fe5c897a96eed07aacd7baee7476ae1a57fbfaead
S02	Software, database and reference register	3	SUPPORT	Acquired-quinolone sequence manifest	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Raw_Read_Dependent_Residual_Mechanism_Audit/RR02_Acquired_Quinolone_Reference_Family_and_Sequence_Freeze_v1/ID005_ID003_RR02_acquired_quinolone_unique_sequence_manifest_v1.tsv	ID005_ID003_RR02_acquired_quinolone_unique_sequence_manifest_v1.tsv	36cf0993e20a868a7ee3af252ffe32e7a9a128a211f6e6dc35db6c9efab3d2f6
S02	Software, database and reference register	4	METHODS	Pilot6 qnrB implementation rules	Results/Pilot_6_CIP/Candidate_Residual_Triage/Pilot6_Contextualization_Implementation_and_qnrB_Acquisition_Decision_Freeze_v1/Pilot6_qnrB_execution_implementation_rules_v1.tsv	Pilot6_qnrB_execution_implementation_rules_v1.tsv	9d89f60d293d34fbcde27ce6f54a5caf00101c4e6d7735e3fd6e30d6739132cd
S02	Software, database and reference register	5	METHODS	Pilot6 ompF implementation rules	Results/Pilot_6_CIP/Candidate_Residual_Triage/Pilot6_Contextualization_Implementation_and_qnrB_Acquisition_Decision_Freeze_v1/Pilot6_ompF_execution_implementation_rules_v1.tsv	Pilot6_ompF_execution_implementation_rules_v1.tsv	c7d7af5a22cff7c59b4dbe061a9e8ecde0f327b62531add458437128224b9791
S03	Known quinolone determinant and QRDR audit	1	PRIMARY	Cross-tool quinolone status	Results/DSET004_Tanzania_Recurrence/ID005_cross_tool_quinolone_status.tsv	ID005_cross_tool_quinolone_status.tsv	2e100becdb72fc4094268c4e5d72bc086bdc876059f5f2156bd779bf784c0c02
S03	Known quinolone determinant and QRDR audit	2	PRIMARY	QRDR AMRFinder/PointFinder boundary reconciliation	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Raw_Read_Dependent_Residual_Mechanism_Audit/RR02_QRDR_Full_Locus_Boundary_Reconciliation_v1/ID005_QRDR_AMRFinder_PointFinder_boundary_reconciliation_v1.tsv	ID005_QRDR_AMRFinder_PointFinder_boundary_reconciliation_v1.tsv	f3a5eed357aa5b413250660d9a105c334aee1546e27521f8706c64e08141fa44
S03	Known quinolone determinant and QRDR audit	3	SUPPORT	Cross-branch residual mechanism reconciliation terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_cross_branch_residual_mechanism_reconciliation_terminal_v1.txt	ID005_cross_branch_residual_mechanism_reconciliation_terminal_v1.txt	d9d44b64ac47b0ee72366f5d5ffc4e710a8bf908f028e7943f88a7481da847fb
S04	Thirteen-gene coding audit	1	PRIMARY	First-pass coding audit terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/Regulator_Porin_Coding_Audit/Systematic_Five_Locus_Audit/integrated_five_locus_coding_triage_terminal_v1.txt	integrated_five_locus_coding_triage_terminal_v1.txt	0d90bebbae3fbf584af17fb5b77f0ce49da2dcf4930899323eb7ac0befe88c1a
S04	Thirteen-gene coding audit	2	PRIMARY	Integrated second-tier coding triage summary	Results/Pilot_6_CIP/Candidate_Residual_Triage/Regulator_Porin_Coding_Audit/Second_Tier_Regulator_Efflux_Coding_Audit/Integrated_Seven_Target_Second_Tier_Coding_Triage_v1/integrated_second_tier_coding_triage_summary_v1.tsv	integrated_second_tier_coding_triage_summary_v1.tsv	e7d837cedc13116fcd0d1ca247af05b41a4eb5c6244f3019aa96fdd0708fc31d
S04	Thirteen-gene coding audit	3	PRIMARY	Integrated second-tier gene summary	Results/Pilot_6_CIP/Candidate_Residual_Triage/Regulator_Porin_Coding_Audit/Second_Tier_Regulator_Efflux_Coding_Audit/Integrated_Seven_Target_Second_Tier_Coding_Triage_v1/integrated_second_tier_gene_summary_v1.tsv	integrated_second_tier_gene_summary_v1.tsv	adc781030281d93d4fc1a20bab2f8d1002fc9c8a8a6374104be2f7c5e4d3ba2e
S04	Thirteen-gene coding audit	4	SUPPORT	Successful seven-target second-tier coding terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/Regulator_Porin_Coding_Audit/Second_Tier_Regulator_Efflux_Coding_Audit/integrated_seven_target_second_tier_coding_triage_terminal_v1.txt	integrated_seven_target_second_tier_coding_triage_terminal_v1.txt	c0ee6d4356dd27c735726e462305bd2410e134144c1343fad5a409121575cd0e
S04	Thirteen-gene coding audit	5	SUPPORT	Post-second-tier cross-branch reconciliation	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_cross_branch_residual_mechanism_reconciliation_terminal_v2.txt	ID005_cross_branch_residual_mechanism_reconciliation_terminal_v2.txt	0f217d4cd74f97d178089df60808f0005870b2ad2c244a9bd6d868b413fb7f45
S05	Five-unit noncoding regulatory audit	1	PRIMARY	Five-unit noncoding audit closure terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/Regulator_Porin_Coding_Audit/Noncoding_Regulatory_Audit/Homologous_Unit_Recovery/five_unit_noncoding_audit_closure_terminal_v1.txt	five_unit_noncoding_audit_closure_terminal_v1.txt	308f7894290ff3b4fd9b136a666c4d1ad80784382ba935fd6bf14f2972e4115d
S05	Five-unit noncoding regulatory audit	2	SUPPORT	Final manuscript ompF site-context source table	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Paper1_Manuscript_Evidence_Pack_v1/Table2_ID005_ompF_site_context_v1.tsv	Table2_ID005_ompF_site_context_v1.tsv	b2e5170477f1529c5f21d4afe1b021f33a84796b32f2b2c4903c3ddbed36ef5f
S06	Eight-unit structural and insertion-sequence audit	1	METHODS	Structural negative-endpoint rules	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Insertion_Sequence_Structural_Context_Audit/Local_Structural_IS_Branch_Negative_Endpoint_v1/ID005_local_structural_IS_negative_endpoint_rules_v1.tsv	ID005_local_structural_IS_negative_endpoint_rules_v1.tsv	a665293217f1ca598b83eec69010373ed13d727585a74f873d5fd0cadf2c5eeb
S06	Eight-unit structural and insertion-sequence audit	2	PRIMARY	Structural negative-endpoint summary	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Insertion_Sequence_Structural_Context_Audit/Local_Structural_IS_Branch_Negative_Endpoint_v1/ID005_local_structural_IS_negative_endpoint_summary_v1.tsv	ID005_local_structural_IS_negative_endpoint_summary_v1.tsv	98316d71e2d46ca5487865167c8f72bf122f6d322f4b1b505e7daaac05ce84c5
S06	Eight-unit structural and insertion-sequence audit	3	SUPPORT	Structural/IS bounded terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_local_structural_IS_branch_negative_endpoint_terminal_v1.txt	ID005_local_structural_IS_branch_negative_endpoint_terminal_v1.txt	e643d53d9d2b97ed08f8ccca298700537df1b5dfec096dcd767b8f4359ec68f4
S07	Raw-read QC and mapping metrics	1	PRIMARY	Raw-read QC terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_ID003_raw_read_QC_endpoint_terminal_v1.txt	ID005_ID003_raw_read_QC_endpoint_terminal_v1.txt	2e0ee665ec163fdadb20da971fb2b5d4caba61c8caced8ef3c7df38c4eda156b
S07	Raw-read QC and mapping metrics	2	PRIMARY	Mapping QC terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_ID003_own_reference_mapping_depth_QC_terminal_v1.txt	ID005_ID003_own_reference_mapping_depth_QC_terminal_v1.txt	25b3b9d82c7ff6a5e74bafa4331c344217be551bd8770bbc041cc52b2451be4e
S07	Raw-read QC and mapping metrics	3	METHODS	Mapping/depth command manifest	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Raw_Read_Dependent_Residual_Mechanism_Audit/Own_Reference_Mapping_and_Depth_QC_v1/ID005_ID003_mapping_depth_command_manifest_v1.tsv	ID005_ID003_mapping_depth_command_manifest_v1.tsv	0c28e36f548c44ff4cad27dd6bf69434cb6d50df8f08e172fcc249037860a774
S07	Raw-read QC and mapping metrics	4	SUPPORT	Raw-read QC/mapping input manifest	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Raw_Read_Dependent_Residual_Mechanism_Audit/Raw_Read_QC_and_Mapping_Toolchain_Preflight_v1/ID005_ID003_raw_read_QC_mapping_input_manifest_v1.tsv	ID005_ID003_raw_read_QC_mapping_input_manifest_v1.tsv	a0048aa074d365949cbcb0ae019cc5ccedc4a3ea07620f4a55bff64ca1d73ce0
S07	Raw-read QC and mapping metrics	5	METHODS	Mapping-depth QC execution rules	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Raw_Read_Dependent_Residual_Mechanism_Audit/Own_Reference_Mapping_and_Depth_QC_v1/ID005_ID003_mapping_depth_QC_execution_rules_v1.tsv	ID005_ID003_mapping_depth_QC_execution_rules_v1.tsv	c00cd414d00b9c103876525fbaecb3945a46a915d178ed8fa5520f4e899e8e4f
S08	Thirteen-gene copy-number screen	1	PRIMARY	13-gene comparator-aware CN screen	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Raw_Read_Dependent_Residual_Mechanism_Audit/Copy_Number_13Gene_Depth_Metric_and_Classification_v1/ID005_ID003_13gene_CN_comparator_aware_screen_v1.tsv	ID005_ID003_13gene_CN_comparator_aware_screen_v1.tsv	e710f89672b55384aeae2389526d58a4b7c6fa73facca164387958e872aa108e
S08	Thirteen-gene copy-number screen	2	PRIMARY	13-gene CN classification summary	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Raw_Read_Dependent_Residual_Mechanism_Audit/Copy_Number_13Gene_Depth_Metric_and_Classification_v1/ID005_ID003_13gene_CN_depth_classification_summary_v1.tsv	ID005_ID003_13gene_CN_depth_classification_summary_v1.tsv	4eb67f613f49cfc3306bbbe6c43fb242c4acf7e394170c89b8c2cba9e6daf195
S08	Thirteen-gene copy-number screen	3	METHODS	13-gene CN execution rules	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Raw_Read_Dependent_Residual_Mechanism_Audit/Copy_Number_13Gene_Depth_Metric_and_Classification_v1/ID005_ID003_13gene_CN_depth_execution_rules_v1.tsv	ID005_ID003_13gene_CN_depth_execution_rules_v1.tsv	a30e0efc7f4b210465c27638d1e77bd64283162a575382ac4ead06066169ea81
S08	Thirteen-gene copy-number screen	4	SUPPORT	Final 13-gene CN terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_ID003_13gene_CN_corrected_final_screen_terminal_v1.txt	ID005_ID003_13gene_CN_corrected_final_screen_terminal_v1.txt	d85e0f79892f08660cdc7dc32f838aa776ceae0b2400e9df57884f8252805d22
S09	Forty-two-object minor-allele screen	1	PRIMARY	Core42 negative closure terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_ID003_RR02_core42_minor_allele_negative_closure_terminal_v1.txt	ID005_ID003_RR02_core42_minor_allele_negative_closure_terminal_v1.txt	20a4384559f3bd1e0726422b23d0d31bb8c8f302e4226a6c7a2b9210d65926e6
S09	Forty-two-object minor-allele screen	2	PRIMARY	Core42 negative closure summary	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Raw_Read_Dependent_Residual_Mechanism_Audit/RR02_Core42_Minor_Allele_Negative_Closure_v1/ID005_ID003_RR02_core42_minor_allele_negative_closure_summary_v1.tsv	ID005_ID003_RR02_core42_minor_allele_negative_closure_summary_v1.tsv	019e9a2ab962687f00a5ceae7a4883caa60e8fb1c560fe832f7bc99afd516f20
S09	Forty-two-object minor-allele screen	3	METHODS	Core42 negative closure rules	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Raw_Read_Dependent_Residual_Mechanism_Audit/RR02_Core42_Minor_Allele_Negative_Closure_v1/ID005_ID003_RR02_core42_minor_allele_negative_closure_rules_v1.tsv	ID005_ID003_RR02_core42_minor_allele_negative_closure_rules_v1.tsv	4b3c376a4f22de93b87aeda4ca955b45bcf67942532bcdabc1f0b8468b826bc2
S10	Acquired quinolone raw-read audit	1	PRIMARY	AAC CR/NONCR discrimination terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_RR02_aac6Ib_cr_noncr_variant_discrimination_execution_terminal_v1.txt	ID005_RR02_aac6Ib_cr_noncr_variant_discrimination_execution_terminal_v1.txt	1d3f38b7bc856c6da07997774afed7c83e9b6edf32d9927d75b9c57d27045334
S10	Acquired quinolone raw-read audit	2	PRIMARY	qnrB coherent locus reconstruction terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_RR02_qnrB_locus_reconstruction_execution_terminal_v1.txt	ID005_RR02_qnrB_locus_reconstruction_execution_terminal_v1.txt	8b22536a10fb88b4867266381782e53ed7c66e411f44e0a821712371f1862430
S10	Acquired quinolone raw-read audit	3	PRIMARY	qnrB bounded pair-context terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_RR02_qnrB_pair_context_execution_terminal_v1.txt	ID005_RR02_qnrB_pair_context_execution_terminal_v1.txt	2e46af74d6f1ba7181c9757a06cb289af1f177244cecfd5e3b8e4fa7d83abe74
S10	Acquired quinolone raw-read audit	4	PRIMARY	Acquired quinolone module final terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_ID003_RR02_qnrB_post_pair_context_disposition_and_module_closure_terminal_v1.txt	ID005_ID003_RR02_qnrB_post_pair_context_disposition_and_module_closure_terminal_v1.txt	3c135d01fde9cf4972848d23690a05ba69aa02b6abf1d765c3f11c4acf7b6e48
S10	Acquired quinolone raw-read audit	5	METHODS	Acquired quinolone sequence manifest	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Raw_Read_Dependent_Residual_Mechanism_Audit/RR02_Acquired_Quinolone_Reference_Family_and_Sequence_Freeze_v1/ID005_ID003_RR02_acquired_quinolone_unique_sequence_manifest_v1.tsv	ID005_ID003_RR02_acquired_quinolone_unique_sequence_manifest_v1.tsv	36cf0993e20a868a7ee3af252ffe32e7a9a128a211f6e6dc35db6c9efab3d2f6
S10	Acquired quinolone raw-read audit	6	METHODS	AAC CR/NONCR implementation rules	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Raw_Read_Dependent_Residual_Mechanism_Audit/RR02_aac6Ib_cr_noncr_Execution_Implementation_Freeze_v1/ID005_RR02_aac6Ib_cr_noncr_execution_implementation_rules_v1.tsv	ID005_RR02_aac6Ib_cr_noncr_execution_implementation_rules_v1.tsv	c21678d1da59565f0ebe065a69bf112d8a07e99b312927138ee4d24b362463ad
S10	Acquired quinolone raw-read audit	7	METHODS	qnrB pair-context implementation rules	Results/Pilot_6_CIP/Candidate_Residual_Triage/ID005_Raw_Read_Dependent_Residual_Mechanism_Audit/RR02_qnrB_Pair_Context_Execution_v1/ID005_RR02_qnrB_pair_context_execution_implementation_rules_v1.tsv	ID005_RR02_qnrB_pair_context_execution_implementation_rules_v1.tsv	3070f09f02c80c4a88ce323f5cf1b42f3adb6cffda3974651d4dcaaa63ac2962
S11	External cohort architecture and input provenance	1	PRIMARY	Pilot6 cohort architecture repair terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/Pilot6_contextualization_cohort_architecture_repair_freeze_terminal_v1.txt	Pilot6_contextualization_cohort_architecture_repair_freeze_terminal_v1.txt	a1fa72553c94bcf0aab3bfbe42c4b6dc078d475e023ae29b7f062d46fd6624f3
S11	External cohort architecture and input provenance	2	PRIMARY	Pilot6 exact assembly input manifest	Results/Pilot_6_CIP/Candidate_Residual_Triage/Pilot6_Per_Isolate_Input_Provenance_and_qnrB_Evaluability_Freeze_v1/Pilot6_exact_assembly_input_manifest_v1.tsv	Pilot6_exact_assembly_input_manifest_v1.tsv	c8d31b82dfa21b8d03dd9d74916c305e53e9d9cdd5d3f50f7f6e08d90afe9b79
S11	External cohort architecture and input provenance	3	PRIMARY	Per-isolate provenance/qnrB evaluability terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/Pilot6_per_isolate_input_provenance_and_qnrB_evaluability_freeze_terminal_v1.txt	Pilot6_per_isolate_input_provenance_and_qnrB_evaluability_freeze_terminal_v1.txt	f51197c4a762e0377405b4e1a250662dd8abee39953e45dc7a5000cdc50cc209
S11	External cohort architecture and input provenance	4	PRIMARY	Input provenance/evaluability summary	Results/Pilot_6_CIP/Candidate_Residual_Triage/Pilot6_Per_Isolate_Input_Provenance_and_qnrB_Evaluability_Freeze_v1/Pilot6_input_provenance_and_qnrB_evaluability_summary_v1.tsv	Pilot6_input_provenance_and_qnrB_evaluability_summary_v1.tsv	ed992addaadbe313c7f933224646af8d37dedd31af274eff09bee999aae4112b
S11	External cohort architecture and input provenance	5	SUPPORT	Public raw-read accession-resolution terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/Pilot6_CIP02_to_CIP06_public_raw_read_accession_resolution_terminal_v1.txt	Pilot6_CIP02_to_CIP06_public_raw_read_accession_resolution_terminal_v1.txt	bcb383aac1fb8ca1bae2fa9a7b8b614e5a000904ac1a192116bd682219a37c43
S12	External ompF contextualization	1	PRIMARY	Per-isolate four-site calls	Results/Pilot_6_CIP/Candidate_Residual_Triage/Pilot6_ompF_Four_Site_External_Contextualization_Execution_v1/Pilot6_ompF_per_isolate_four_site_calls_v1.tsv	Pilot6_ompF_per_isolate_four_site_calls_v1.tsv	17ff769b8130e50dcde15111b8047377aad5fbcf27776606d9c5d40578a0052b
S12	External ompF contextualization	2	PRIMARY	Per-isolate ompF system status	Results/Pilot_6_CIP/Candidate_Residual_Triage/Pilot6_ompF_Four_Site_External_Contextualization_Execution_v1/Pilot6_ompF_per_isolate_system_status_v1.tsv	Pilot6_ompF_per_isolate_system_status_v1.tsv	3d9b1db0ee75a1de6bdebd00e52d16322b07fa90b1f6df314618145897e947d0
S12	External ompF contextualization	3	PRIMARY	ompF site recurrence summary	Results/Pilot_6_CIP/Candidate_Residual_Triage/Pilot6_ompF_Four_Site_External_Contextualization_Execution_v1/Pilot6_ompF_site_recurrence_summary_v1.tsv	Pilot6_ompF_site_recurrence_summary_v1.tsv	5521b430dc02c3429609d7eee6c406d7100017194d6bfaf95088227c70aea3f5
S12	External ompF contextualization	4	PRIMARY	ompF external contextualization summary	Results/Pilot_6_CIP/Candidate_Residual_Triage/Pilot6_ompF_Four_Site_External_Contextualization_Execution_v1/Pilot6_ompF_external_contextualization_summary_v1.tsv	Pilot6_ompF_external_contextualization_summary_v1.tsv	abda5a7e6a2a97021c72601195337965a5f7fe2ce8dcfdf598d79d31c40c811a
S12	External ompF contextualization	5	SUPPORT	ompF external contextualization terminal	Results/Pilot_6_CIP/Candidate_Residual_Triage/Pilot6_ompF_four_site_external_contextualization_execution_terminal_v1.txt	Pilot6_ompF_four_site_external_contextualization_execution_terminal_v1.txt	0a32715c7569a1d701638209834a9743e34ba77b8714ca7f7650422aba08adaa
S13	External qnrB contextualization	1	PRIMARY	Per-isolate qnrB context status	Results/Pilot_6_CIP/Candidate_Residual_Triage/Pilot6_qnrB_External_Contextualization_Execution_v1/Pilot6_qnrB_per_isolate_context_status_v1.tsv	Pilot6_qnrB_per_isolate_context_status_v1.tsv	ac17bf2e5447adc4fac6db0c60a2411ecfcf2bada1cfc6d7fe8b4c966c5fbcc3
