Rule_ID	Rule
QBIM001	THE_qnrB_CONTEXTUALIZATION_ASSAY_REUSES_THE_EXACT_203_SEQUENCE_12_FAMILY_ACQUIRED_QUINOLONE_PANEL
QBIM002	THE_SAME_BYTE_IDENTICAL_PANEL_FAMILY_RULES_AND_THRESHOLDS_APPLY_TO_EVERY_TECHNICALLY_EVALUABLE_EXTERNAL_PILOT_ISOLATE
QBIM003	R1_AND_R2_ARE_MAPPED_AS_THE_ORIGINAL_PAIRED_READ_SET_WITH_BWA_mem_MINUS_a_TO_THE_FIXED_PANEL
QBIM004	NO_INITIAL_MAPQ_FILTER_IS_APPLIED
QBIM005	SUPPLEMENTARY_ALIGNMENTS_ARE_EXCLUDED_AND_SECONDARY_ALIGNMENTS_REMAIN_ELIGIBLE
QBIM006	QUALIFYING_ALIGNMENTS_REQUIRE_AT_LEAST_100_ALIGNMENT_COLUMNS_AND_IDENTITY_AT_LEAST_0_95
QBIM007	PER_READ_END_BEST_QUALIFYING_AS_IS_COMPUTED_PER_ACQUIRED_QUINOLONE_FAMILY
QBIM008	A_READ_END_IS_FAMILY_RESOLVED_ONLY_IF_ONE_FAMILY_IS_THE_UNIQUE_TOP_FAMILY_AND_THE_AS_MARGIN_OVER_THE_NEXT_FAMILY_IS_AT_LEAST_5
QBIM009	A_FRAGMENT_IS_qnrB_RESOLVED_IF_EXACTLY_ONE_INFORMATIVE_MATE_RESOLVES_TO_qnrB_OR_BOTH_INFORMATIVE_MATES_RESOLVE_TO_qnrB
QBIM010	MATES_RESOLVING_TO_DIFFERENT_FAMILIES_DO_NOT_COUNT_AS_qnrB_RESOLVED_FRAGMENTS
QBIM011	qnrB_SUPPORT_REFERENCE_IS_SELECTED_BY_MAXIMUM_BREADTH_THEN_MAXIMUM_DISTINCT_STARTS_THEN_LEXICOGRAPHIC_AQSEQ_ID
QBIM012	qnrB_RAW_READ_SIGNAL_PRESENT_REQUIRES_AT_LEAST_10_RESOLVED_FRAGMENTS_AT_LEAST_3_R1_AT_LEAST_3_R2_BREADTH_AT_LEAST_0_50_AND_AT_LEAST_5_DISTINCT_STARTS
QBIM013	TECHNICALLY_COMPLETE_ASSAY_FAILING_ANY_SIGNAL_THRESHOLD_IS_RAW_READ_SIGNAL_NOT_DETECTED_UNDER_FROZEN_THRESHOLDS
QBIM014	MISSING_OR_PROVENANCE_UNRESOLVED_REQUIRED_READS_ARE_TECHNICALLY_UNAVAILABLE_NOT_RAW_READ_NEGATIVE
QBIM015	MAPPING_OR_PARSER_FAILURE_IS_TECHNICALLY_UNRESOLVED_NOT_RAW_READ_NEGATIVE
QBIM016	WHOLE_ASSEMBLY_OUTSCORING_IS_NOT_REQUIRED_FOR_THIS_RECURRENCE_CONTEXTUALIZATION_ASSAY
QBIM017	ASSEMBLY_TOOL_AMR_STATUS_MAY_BE_REPORTED_SEPARATELY_BUT_DOES_NOT_DEFINE_THE_RAW_READ_qnrB_STATUS
QBIM018	NO_EXTERNAL_PILOT_qnrB_ASSAY_IS_EXECUTED_UNTIL_THE_CIP02_TO_CIP06_RAW_READ_ACCESSION_RESOLUTION_ATTEMPT_HAS_REACHED_A_FROZEN_STOPPING_STATE
QBIM019	THE_FINAL_qnrB_DENOMINATOR_IS_THE_PROSPECTIVELY_RESOLVED_TECHNICALLY_EVALUABLE_EXTERNAL_SET
QBIM020	NO_PER_ISOLATE_THRESHOLD_REFERENCE_OR_FAMILY_RULE_TUNING_IS_ALLOWED
