Rule_ID	Rule
QNBPCEX001	QNAME_NORMALIZATION_REUSES_THE_EXISTING_PIPELINE_RULE_FIRST_WHITESPACE_TOKEN_AFTER_AT_WITH_OPTIONAL_TERMINAL_SLASH1_OR_SLASH2_REMOVED
QNBPCEX002	THE_TWO_CONTEXT_QNAMES_ARE_DERIVED_ONLY_FROM_THE_LOCKED_20_END_qnrB_UNIVERSE_AS_FRAGMENTS_WITH_R1_SUPPORT_AND_NO_R2_SUPPORT
QNBPCEX003	THE_PAIR_STRUCTURE_MUST_REPRODUCE_EXACTLY_9_DOUBLE_qnrB_SUPPORT_PAIRS_AND_2_R1_ONLY_qnrB_SUPPORT_PAIRS
QNBPCEX004	EACH_OF_THE_TWO_CONTEXT_R2_QNAMES_MUST_OCCUR_EXACTLY_ONCE_IN_THE_FROZEN_ID005_R2_FASTQ
QNBPCEX005	THE_TWO_R2_CONTEXT_READS_ARE_MAPPED_INDEPENDENTLY_AS_SINGLE_END_READS_WITH_BWA_mem_MINUS_a
QNBPCEX006	AS_DIFFERENCE_IS_DEFINED_AS_BEST_qnrB_AS_MINUS_BEST_ASSEMBLY_AS
QNBPCEX007	AN_ASSEMBLY_BEST_LOCUS_CONFIGURATION_IS_DEFINED_BY_CONTIG_START_AND_STRAND_AMONG_EQUAL_HIGHEST_AS_QUALIFYING_ASSEMBLY_ALIGNMENTS
QNBPCEX008	EXACT_DUPLICATE_EQUAL_BEST_RECORDS_AT_THE_SAME_CONTIG_START_STRAND_CONFIGURATION_ARE_COLLAPSED_FOR_LOCUS_COUNT
QNBPCEX009	IF_A_UNIQUE_BEST_ASSEMBLY_LOCUS_CONFIGURATION_HAS_MULTIPLE_EQUAL_BEST_RECORDS_WITH_DIFFERENT_CIGAR_NM_OR_ALIGNMENT_COLUMN_STRUCTURE_THE_GATE_STOPS_AS_A_TECHNICAL_AMBIGUITY
QNBPCEX010	ALIGNMENT_END_IS_POS_PLUS_REFERENCE_CONSUMING_CIGAR_SPAN_MINUS_1_USING_M_D_N_EQUAL_AND_X
QNBPCEX011	DISTANCE_TO_NEAREST_CONTIG_END_IS_MINIMUM_OF_POS_MINUS_1_AND_CONTIG_LENGTH_MINUS_ALIGNMENT_END
QNBPCEX012	MULTIPOSITION_ASSEMBLY_CONTEXT_IS_COUNTED_ONLY_WHEN_ASSEMBLY_OUTSCORES_qnrB_AND_MORE_THAN_ONE_EQUAL_BEST_ASSEMBLY_LOCUS_CONFIGURATION_EXISTS
QNBPCEX013	UNIQUE_ASSEMBLY_CONTEXT_ANCHOR_IS_COUNTED_ONLY_WHEN_ASSEMBLY_OUTSCORES_qnrB_AND_EXACTLY_ONE_BEST_ASSEMBLY_LOCUS_CONFIGURATION_EXISTS
QNBPCEX014	THE_THREE_ENDPOINT_LABELS_ARE_TWO_UNIQUE_ASSEMBLY_CONTEXT_ANCHORS_ONE_UNIQUE_ASSEMBLY_CONTEXT_ANCHOR_AND_NO_UNIQUE_ASSEMBLY_CONTEXT_ANCHOR
QNBPCEX015	NO_RULE_THRESHOLD_REFERENCE_OR_LOCUS_TIE_BREAKER_MAY_BE_CHANGED_AFTER_THE_TWO_CONTEXT_QNAME_VALUES_ARE_OPENED
